50,000:06:07.546,2023/12/19  12:55:31:546 ,3499.04419,1.2026769,1.00E-99,3.28E-10,8.42E-13,5.64E-14,5.27E-14,1.06E-10,4.70E-13,1.34E-13,4.54E-13,1.65E-12,9.86E-14,4.01E-14,1.83E-09,6.29E-13,5.23E-13,9.92E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
51,000:06:15.046,2023/12/19  12:55:39:46 ,3567.251465,1.1637427,1.00E-99,3.28E-10,8.42E-13,6.52E-14,5.32E-14,1.06E-10,4.79E-13,1.18E-13,4.43E-13,1.59E-12,8.38E-14,4.62E-14,1.83E-09,5.97E-13,5.13E-13,6.98E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
52,000:06:22.546,2023/12/19  12:55:46:546 ,3943.96582,1.2737069,1.00E-99,3.28E-10,8.22E-13,6.65E-14,5.08E-14,1.06E-10,4.39E-13,1.28E-13,4.21E-13,1.55E-12,9.19E-14,3.97E-14,1.83E-09,5.91E-13,4.64E-13,6.68E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
53,000:06:30.046,2023/12/19  12:55:54:46 ,3765.432129,1.1358025,1.00E-99,3.26E-10,8.36E-13,5.41E-14,5.07E-14,1.06E-10,4.63E-13,1.47E-13,4.36E-13,1.53E-12,7.44E-14,3.99E-14,1.83E-09,5.52E-13,4.86E-13,6.68E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
54,000:06:37.546,2023/12/19  12:56:1:546 ,3765.432129,1.1049383,1.00E-99,3.27E-10,8.26E-13,4.33E-14,5.55E-14,1.06E-10,4.71E-13,1.49E-13,3.90E-13,1.49E-12,7.73E-14,4.66E-14,1.83E-09,5.37E-13,4.86E-13,8.00E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
55,000:06:45.046,2023/12/19  12:56:9:46 ,4035.476807,1.1906874,1.00E-99,3.27E-10,8.26E-13,6.70E-14,5.34E-14,1.06E-10,4.58E-13,1.49E-13,3.84E-13,1.43E-12,6.72E-14,4.29E-14,1.82E-09,5.37E-13,4.51E-13,8.74E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
56,000:06:52.546,2023/12/19  12:56:16:546 ,4323.040527,1.2969121,1.00E-99,3.26E-10,7.91E-13,6.16E-14,4.50E-14,1.06E-10,4.62E-13,1.31E-13,4.14E-13,1.43E-12,1.01E-13,4.15E-14,1.82E-09,5.46E-13,4.21E-13,8.37E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
57,000:07:00.046,2023/12/19  12:56:24:46 ,4203.233398,1.2979215,1.00E-99,3.26E-10,8.17E-13,5.71E-14,5.08E-14,1.06E-10,4.76E-13,1.07E-13,3.68E-13,1.39E-12,5.23E-14,4.15E-14,1.82E-09,5.62E-13,4.33E-13,7.32E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
58,000:07:07.546,2023/12/19  12:56:31:546 ,4417.476074,1.2936894,1.00E-99,3.26E-10,7.94E-13,5.95E-14,5.67E-14,1.06E-10,4.45E-13,1.19E-13,3.65E-13,1.34E-12,6.03E-14,3.97E-14,1.82E-09,5.33E-13,4.12E-13,9.64E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
59,000:07:15.046,2023/12/19  12:56:39:46 ,4385.541992,1.2554216,1.00E-99,3.25E-10,8.05E-13,6.26E-14,4.57E-14,1.06E-10,4.60E-13,1.30E-13,3.79E-13,1.31E-12,6.03E-14,4.67E-14,1.82E-09,5.21E-13,4.15E-13,8.76E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
60,000:07:22.546,2023/12/19  12:56:46:546 ,4572.864746,1.30402,1.00E-99,3.25E-10,8.31E-13,5.11E-14,6.31E-14,1.06E-10,4.89E-13,1.24E-13,3.54E-13,1.31E-12,6.65E-14,3.88E-14,1.82E-09,5.19E-13,3.98E-13,1.29E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
61,000:07:30.046,2023/12/19  12:56:54:46 ,5155.807617,1.4447591,1.00E-99,3.25E-10,7.82E-13,7.13E-14,4.58E-14,1.05E-10,4.71E-13,1.17E-13,3.54E-13,1.30E-12,7.08E-14,4.34E-14,1.82E-09,5.10E-13,3.53E-13,7.22E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
